uid;name;adm_level;latitude;longitude;country_code;country_name;country_uid;provider;g0;g1;g2;g3;g4
osm_392036;Marmelade;3;19.52548946;-72.37563824;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392363;osm_392036;
osm_389653;Milot;3;19.65340317;-72.21792836;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394463;osm_389653;
osm_391241;Miragoane;3;18.35716056;-73.06373923;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393320;osm_391241;
osm_388721;Mirebalais;3;18.78504471;-72.08194216;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393492;osm_388721;
osm_389610;Mole Saint Nicolas;3;19.77924727;-73.34627136;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393374;osm_389610;
osm_392056;Mombin Crochu;3;19.33219953;-71.89168547;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394460;osm_392056;
osm_392030;Mont Organise;3;19.38740549;-71.78477222;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394456;osm_392030;
osm_389506;Moron;3;18.4770871;-74.26533294;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393437;osm_389506;
osm_392047;Ouanaminthe;3;19.50351301;-71.77326678;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394456;osm_392047;
osm_407575;Paillant;3;18.4143961;-73.1686677;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393320;osm_407575;
osm_392211;Perches;3;19.51779658;-71.93466241;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394452;osm_392211;
osm_390390;Pestel;3;18.49313001;-73.82491768;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393435;osm_390390;
osm_387138;Petion Ville;3;18.48399693;-72.25629867;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387138;
osm_387594;Petit Goave;3;18.37742878;-72.93157994;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387650;osm_387594;
osm_392115;Petite Riviere de l'Artibonite;3;19.0704001;-72.35708075;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392354;osm_392115;
osm_391374;Petite Riviere de Nippes;3;18.45603153;-73.19970427;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393320;osm_391374;
osm_391375;Petite Trou de Nippes;3;18.46744094;-73.49585757;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;osm_391375;
osm_392070;Pignon;3;19.32400587;-72.10702465;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;osm_392070;
osm_389869;Pilate;3;19.69275689;-72.55293134;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394494;osm_389869;
osm_392004;Plaine du Nord;3;19.68046231;-72.26889719;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394463;osm_392004;
osm_392081;Plaisance;3;19.59451025;-72.4788952;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394494;osm_392081;
osm_407283;Plaisance du Sud;3;18.42989576;-73.5658282;HT;Haiti;osm_307829;osm;osm_307829;osm_391834;osm_393324;osm_407283;
osm_387087;Pointe A Raquette;3;18.87504551;-73.15893686;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387093;osm_387087;
osm_390426;Port a Piment;3;18.28907196;-74.06642706;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394521;osm_390426;
osm_387039;Port au Prince;3;18.52590671;-72.33766773;HT;Haiti;osm_307829;osm;osm_307829;osm_386871;osm_387318;osm_387039;
osm_389658;Port de Paix;3;19.85268654;-72.91896606;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393379;osm_389658;
osm_388624;Port Margot;3;19.75396874;-72.46388991;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394465;osm_388624;
osm_389511;Port Salut;3;18.09156498;-73.89293241;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394522;osm_389511;
osm_391997;Quartier Morin;3;19.68503521;-72.16890793;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_394467;osm_391997;
osm_392053;Ranquitte;3;19.39935711;-72.05757185;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;osm_392053;
osm_390452;Roche A Bateau;3;18.19041697;-73.97369949;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394521;osm_390452;
osm_390549;Roseaux;3;18.51554998;-74.04052095;HT;Haiti;osm_307829;osm;osm_307829;osm_391700;osm_393435;osm_390549;
osm_389513;Saint Jean du Sud;3;18.05771728;-73.83859131;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394522;osm_389513;
osm_391993;Saint Louis du Nord;3;19.88040086;-72.71038371;HT;Haiti;osm_307829;osm;osm_307829;osm_391963;osm_393381;osm_391993;
osm_389273;Saint Louis du Sud;3;18.28096142;-73.53190816;HT;Haiti;osm_307829;osm;osm_307829;osm_2744350;osm_394517;osm_389273;
osm_389619;Saint Marc;3;19.09814657;-72.6823687;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392364;osm_389619;
osm_392079;Saint Michel de l'Attal;3;19.34190772;-72.33874919;HT;Haiti;osm_307829;osm;osm_307829;osm_392238;osm_392363;osm_392079;
osm_392015;Saint Raphael;3;19.40289396;-72.19290581;HT;Haiti;osm_307829;osm;osm_307829;osm_392028;osm_395432;osm_392015;
osm_391989;Sainte Suzanne;3;19.52179289;-72.06349487;HT;Haiti;osm_307829;osm;osm_307829;osm_392189;osm_394459;osm_391989;
osm_392163;Saut d'Eau;3;18.83082806;-72.23701632;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393492;osm_392163;
osm_391674;Savanette;3;18.74607722;-71.84143531;HT;Haiti;osm_307829;osm;osm_307829;osm_392213;osm_393488;osm_391674;
